Effective Date- 01st Apr'24,,,,,
General Category,,,,,
Name of the Scheduled Employement,Zone,Basic Per Month,VDA Per Month,Total Wages Per Month,Total Wages Per Day
Manager,Zone A,7390,7313,565.5,14703
,Zone B,7328,7313,563.12,14641
,Zone C,7264,7313,560.65,14577
,Zone D,7214,7313,558.73,14527
Sales Manager,Zone A,7390,7313,565.5,14703
Sales Manager,Zone B,7328,7313,563.12,14641
Sales Manager,Zone C,7264,7313,560.65,14577
Sales Manager,Zone D,7214,7313,558.73,14527
Field Officer,Zone A,7390,7313,565.5,14703
Field Officer,Zone B,7328,7313,563.12,14641
Field Officer,Zone C,7264,7313,560.65,14577
Field Officer,Zone D,7214,7313,558.73,14527
Development Officer,Zone A,7390,7313,565.5,14703
Development Officer,Zone B,7328,7313,563.12,14641
Development Officer,Zone C,7264,7313,560.65,14577
Development Officer,Zone D,7214,7313,558.73,14527
Officer in Charge,Zone A,7390,7313,565.5,14703
Officer in Charge,Zone B,7328,7313,563.12,14641
Officer in Charge,Zone C,7264,7313,560.65,14577
Officer in Charge,Zone D,7214,7313,558.73,14527
Asst Manager,Zone A,6880,7313,545.88,14193
Asst Manager,Zone B,6815,7313,543.38,14128
Asst Manager,Zone C,6753,7313,541,14066
Asst Manager,Zone D,6691,7313,538.62,14004
