Special Category-Hair Dressing Saloon/Beauty Parlour,,,,,
Name of the Scheduled Employement,Zone,Basic Per Month,VDA Per Month,Total Wages Per Month,Total Wages Per Day
Hair Dresser,Zone A,6880,7313,545.88,14193
Hair Dresser,,6815,7313,,14128
Hair Dresser,,6753,7313,,14066
Hair Dresser,,6675,7313,538,13988
Hair Cutter,Zone A,6880,7313,545.88,14193
,Zone B,6815,7313,543.38,14128
,Zone C,6753,7313,541,14066
,Zone D,6675,7313,538,13988
Beautician,Zone A,6880,7313,545.88,14193
,Zone B,6815,7313,543.38,
,Zone C,6753,7313,541,
,Zone D,6675,7313,538,
